Time,Chan1,Chan2,Trial,LED_State
88,2,0,0,0
516,6,0,0,0
872,2,0,0,0
1232,2,0,0,0
1592,0,0,0,0
1952,4,0,0,0
2312,1,0,0,0
2672,2,0,0,0
3032,0,0,0,0
3392,0,0,0,0
3752,0,0,0,0
4128,2,0,0,0
4476,6,0,0,0
4836,2,0,0,0
5208,0,0,0,0
5556,0,0,0,0
5916,0,0,0,0
6276,0,0,0,0
6636,1,0,0,0
6996,2,0,0,0
7356,6,0,0,0
7716,1,0,0,0
8076,0,0,0,0
8436,2,0,0,0
8796,6,0,0,0
9156,2,0,0,0
9516,2,0,0,0
9876,2,0,0,0
10236,6,0,0,0
10612,2,0,0,0
11052,2,0,0,0
11492,6,0,0,0
11932,0,0,0,0
12372,0,0,0,0
12812,0,0,0,0
13252,0,0,0,0
13692,2,0,0,0
14132,1,0,0,0
14572,0,0,0,0
15012,0,0,0,0
15452,2,0,0,0
15892,0,0,0,0
16332,2,0,0,0
16772,2,0,0,0
17212,3,0,0,0
17652,1,0,0,0
18092,0,0,0,0
18532,0,0,0,0
18972,0,0,0,0
19412,0,0,0,0
19852,0,0,0,0
20292,0,0,0,0
20732,2,0,0,0
21172,0,0,0,0
21612,2,0,0,0
22052,2,0,0,0
22492,4,0,0,0
22932,2,0,0,0
23372,2,0,0,0
23812,0,0,0,0
24252,2,0,0,0
24692,2,0,0,0
25132,0,0,0,0
25572,0,0,0,0
26012,0,0,0,0
26452,0,0,0,0
26892,0,0,0,0
27332,0,2,0,0
27772,0,2,0,0
28212,0,6,0,0
28652,0,2,0,0
29092,0,2,0,0
29532,0,6,0,0
29972,0,0,0,0
30412,0,2,0,0
30852,0,6,0,0
31292,0,2,0,0
31732,0,2,0,0
32172,0,6,0,0
32612,0,2,0,0
33052,0,0,0,0
33492,0,0,0,0
33932,0,0,0,0
34372,0,2,0,0
34812,0,2,0,0
35252,0,6,0,0
35692,0,0,0,0
36132,0,2,0,0
36572,0,0,0,0
37012,0,2,0,0
37452,0,2,0,0
37896,0,4,0,0
38332,0,1,0,0
38772,0,2,0,0
39212,0,1,0,0
39652,0,0,0,0
40092,0,0,0,0
40532,0,0,0,0
40976,0,0,0,0
41548,0,3,1,1
41908,0,7,1,1
42292,0,2,1,1
42732,0,3,1,1
43172,0,3,1,1
43612,0,2,1,1
44052,0,3,1,1
44492,0,0,1,1
44932,0,2,1,1
45372,0,3,1,1
45812,0,3,1,1
46252,0,0,1,1
46692,0,0,1,1
47132,0,0,1,1
47572,0,0,1,1
48012,0,0,1,1
48452,0,3,1,1
48892,0,7,1,1
49332,0,2,1,1
49772,0,3,1,1
50212,0,7,1,1
50652,0,2,1,1
51092,0,3,1,1
51532,0,7,1,1
51972,0,2,1,1
52412,0,3,1,1
52852,0,0,1,1
53292,0,2,1,1
53732,0,0,1,1
54172,0,0,1,1
54612,0,0,1,1
55052,0,0,1,1
55492,0,3,1,1
55932,0,7,1,1
56372,0,2,1,1
56812,0,3,1,1
57252,0,7,1,1
57692,0,1,1,1
58132,0,3,1,1
58572,0,7,1,1
59012,0,2,1,1
59452,0,3,1,1
59892,0,7,1,1
60332,0,2,1,1
60772,0,0,1,1
61212,0,0,1,1
61652,0,0,1,1
62092,0,0,1,1
62532,2,0,1,1
62972,6,0,1,1
63412,2,0,1,1
63852,2,0,1,1
64292,6,0,1,1
64732,2,0,1,1
65172,2,0,1,1
65612,6,0,1,1
66052,2,0,1,1
66492,2,0,1,1
66932,6,0,1,1
67372,0,0,1,1
67812,0,0,1,1
68252,0,0,1,1
68692,0,0,1,1
69132,2,0,1,1
69572,2,0,1,1
70012,6,0,1,1
70452,0,0,1,1
70892,2,0,1,1
